N	Especie	Apendice	Categoria_nacional	UICN	Nativa_Endemica	Nombre_comun	Sinonimos	Autor	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
			nacional															
1	Arapaima gigas	II	-	DD	Nativa	Paiche, pirarucú, arapaima		(Schinze, 1822)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
2	Hippocampus ingens	II	-	VU	Nativa	Caballito de mar		(Girard, 1858)										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Epipedobates femoralis											
						Rana dardo venenosa, rana	Phyllobates femoralis											
3	Allobates femoralis	II	-	LC	Nativa			(Boulenger, 1884)										
						venenosa de muslos	Dendrobates femoralis											
							Prostherapis femoralis											
						Rana de punta de flecha de												
4	Allobates myersi4	II	-	LC	Nativa		Epipedobates myersi	(Pyburn, 1981)										
						Myers												
							Epipedobates zaparo											
5	Allobates zaparo	II	-	LC	Nativa	Rana dardo venenosa	Dendrobates zaparo	(  S ilverstone, 1976)										
							Phyllobates zaparo											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						venenosa del río Madeira												
						Rana venenosa de		Twomey & Brown,										
7	Ameerega altamazonica	II	-	-	Endémica													
						Tarapoto		2008										
						Rana de punta de flecha de	Dendrobates bassleri											
						Bassler, rana venenosa	Phobobates bassleri											
8	Ameerega bassleri	II	NT	NT	Endémica			(Melin, 1941)										
						agradable, rana dardo	Phyllobates bassleri											
						venenosa	Epipedobates bassleri											
						Rana venenosa												
9	Ameerega bilinguis6	II	-	LC	Nativa		Epipedobates bilinguis	(Jungfer, 1989)										
						ecuatoriana, rana venenosa												
						Rana venenosa de	Epipedobates ardens											
10	Ameerega cainarachi	II	NT	VU	Endémica	Cainarachi, rana dardo	Epipedobates	(Schulte, 1989)										
						venenosa	cainarachi											
							Dendrobates hahneli											
							Epipedobates hahneli											
11	Ameerega hahneli	II	-	LC	Nativa	Rana dardo venenosa		(Boulenger, 1884)										
							Dendrobates pictus											
							hahneli											
								Brown & Twomey,										
12	Ameerega ignipedis	II	-	-	Endémica	Rana dardo venenosa												
								2009										
							Hylaplesia labialis											
13	Ameerega labialis	II	-	DD	Endémica	Rana dardo venenosa	Dendrobates labialis	(  C ope, 1874)										
							Epipedobates labialis											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Dendrobates											
							smaragdinus											
						Rana de punta de flecha												
							Epipedobates											
26	Ameerega smaragdina	II	DD	DD	Endémica	esmeralda, rana dardo		(Silverstone, 1976)										
							smaragdinus											
						amazónica												
							Phyllobates											
							smaragdinus											
							Dendrobates											
							tetravittatus											
							Dendrobates											
							trivittatus											
							E. epipedobates											
							trivittatus Hylaplesia											
						Sapito dardo trilistado,												
27	Ameerega trivittata	II	-	LC	Nativa		trivittata	(Spix, 1824)										
						rana dardo venenosa												
							Phobobates											
							trivittatus											
							Phyllobates trivittatus											
							Hylaplesia nigerrima											
							Hyla nigerrima											
							Hyla trivittata											
.						Yoshin, rana venenosa		Brown & Twomey,										
	Ameerega yoshina	II	NT	-	Endémica													
28						diabólica		2009										
							Ameerega anthonyi											
						Rana venenosa de Antonio,	Colostethus anthonyi											
29	Epipedobates anthonyi	II	NT	NT	Nativa			(Noble, 1921)										
						rana tricolor ecuatoriana	Dendrobates anthonyi											
							Phyllobates anthonyi											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							Adelphobates											
						Rana venenosa de Río	captivus Dendrobates											
30	Excidobates captivus10	II	VU	LC	Nativa			(Myers, 1982)										
						Santiago, rana venenosa	captivus											
							Ranitomeya captiva											
							Dendrobates											
						Rana venenosa del												
							mysteriosus											
31	Excidobates mysteriosus	II	EN	EN	Endémica	Marañón, rana venenosa		(Myers, 1982)										
							Ranitomeya											
						misteriosa												
							mysteriosa											
							Dendrobates											
							azureiventris											
							Epipedobates											
						Rana de punta de flecha de												
							azureiventris	(Kneller & Henle,										
32	Hyloxalus azureiventris	II	EN	EN	Endémica	vientre azul, rana venenosa												
							Phyllobates	1985)										
						azul cielo												
							azureiventris											
							Cryptophyllobates											
							azureiventris											
						Rana venenosa de Iquitos,	Dendrobates											
33	Ranitomeya amazonica11		-	DD	Nativa			(Schulte, 1999)										
						rana venenosa amazónica	amazonicus											
								Brown, Twomey,										
							Dendrobates											
34	Ranitomeya benedicta	II	VU	VU	Endémica	Rana venenosa bendita		Pepper & Sanchez-										
							benedicta											
								Rodriguez, 2008										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
								Perez-Peña, Chavez,										
35	Ranitomeya cyanovittata	II	-	-	Endémica	Rana venenosa heroica		Twomey & Brown,										
								2010										
